tvshow_code,show_name,seasonNumber,averageRating,numVotes
tt0052451,Bonanza,5,7.291176470588236,56.94117647058823
tt0052451,Bonanza,6,7.223529411764706,51.55882352941177
tt0052451,Bonanza,7,7.215151515151515,43.45454545454545
tt0052451,Bonanza,8,7.350000000000001,43.73529411764706
tt0052451,Bonanza,9,7.720588235294116,42.0
tt0052451,Bonanza,10,7.589999999999999,39.833333333333336
tt0052451,Bonanza,11,7.564285714285712,37.75
tt0052451,Bonanza,12,7.471428571428571,41.75
tt0052451,Bonanza,13,7.503846153846154,39.84615384615385
tt0052451,Bonanza,14,7.453333333333333,49.6
tt0052461,Dennis the Menace,1,7.59375,28.40625
tt0052461,Dennis the Menace,2,7.981578947368422,16.05263157894737
tt0052461,Dennis the Menace,3,7.78421052631579,16.44736842105263
tt0052461,Dennis the Menace,4,6.9078947368421035,18.31578947368421
tt0052481,Laramie,1,8.396774193548387,55.87096774193548
tt0052481,Laramie,2,8.490909090909089,48.57575757575758
tt0052481,Laramie,3,8.167857142857141,45.857142857142854
tt0052481,Laramie,4,8.2625,40.5
tt0052490,The Many Loves of Dobie Gillis,1,7.8075,20.175
tt0052490,The Many Loves of Dobie Gillis,2,7.988888888888886,16.055555555555557
tt0052490,The Many Loves of Dobie Gillis,3,8.141666666666666,13.694444444444445
tt0052490,The Many Loves of Dobie Gillis,4,7.808333333333333,11.0
tt0052504,Rawhide,1,7.7727272727272725,79.68181818181819
tt0052504,Rawhide,2,7.9156249999999995,48.21875
tt0052504,Rawhide,3,8.19,41.43333333333333
tt0052504,Rawhide,4,8.09,37.4
tt0052504,Rawhide,5,7.996551724137929,32.86206896551724
tt0052504,Rawhide,6,7.951612903225804,29.93548387096774
tt0052504,Rawhide,7,7.703333333333333,30.366666666666667
tt0052504,Rawhide,8,7.292307692307692,33.76923076923077
tt0052507,Rocky and His Friends,1,8.157692307692306,27.884615384615383
tt0052507,Rocky and His Friends,2,8.438461538461539,14.711538461538462
tt0052507,Rocky and His Friends,3,7.685,7.95
tt0052507,Rocky and His Friends,4,7.127272727272729,7.7272727272727275
tt0052507,Rocky and His Friends,5,7.542857142857142,6.238095238095238
tt0052520,The Twilight Zone,1,7.791666666666668,2373.6666666666665
tt0052520,The Twilight Zone,2,7.717241379310346,1713.448275862069
tt0052520,The Twilight Zone,3,7.6891891891891895,1448.945945945946
tt0052520,The Twilight Zone,4,7.53888888888889,914.3333333333334
tt0052520,The Twilight Zone,5,7.544444444444445,1121.9166666666667
tt0052522,The Untouchables,1,7.879310344827586,61.55172413793103
tt0052522,The Untouchables,2,7.928125000000001,43.46875
tt0052522,The Untouchables,3,7.771428571428572,33.714285714285715
tt0052522,The Untouchables,4,7.216666666666668,21.1
tt0053479,The Andy Griffith Show,1,8.175000000000002,220.25
tt0053479,The Andy Griffith Show,2,8.332258064516129,182.19354838709677
